No,Nama,Lat,Lon,Pendapatan,Pendidikan,Akses_RS,Akses_Gizi,Kondisi_Lingkungan,Pemakaian_Air,Sanitasi,Cluster
1,Nias,1.03111,97.69182,40,30,20,86,15,93,33,0
2,Mandailing Natal,0.77681,99.37472,40,30,40,67,20,98,3,0
3,Tapanuli Selatan,1.48318,99.23489,50,40,20,84,15,95,8,0
4,Tapanuli Tengah,1.88577,98.64414,40,20,50,98,9,68,20,0
5,Tapanuli Utara,1.9958,99.05289,40,20,40,100,20,99,7,0
6,Toba Samosir,2.3828,99.31009,30,20,50,44,28,89,2,0
7,Labuhan Batu,2.36032,100.13924,40,30,60,20,18,100,21,0
8,Asahan,2.82077,99.5621,40,20,40,67,20,99,28,0
9,Simalungun,2.99445,98.80198,40,30,40,68,18,99,52,0
10,Dairi,2.871,98.20738,40,30,40,52,16,86,24,0
11,Karo,3.14092,98.669,50,30,20,53,42,98,20,1
12,Deli Serdang,3.40681,98.669,60,50,60,29,26,99,44,0
13,Langkat,3.74345,98.16846,50,50,40,94,13,98,36,0
14,Nias Selatan,0.66325,97.77208,40,30,20,67,25,84,10,0
15,Humbang Hasundutan,2.24918,98.57409,40,30,30,56,25,91,33,0
16,Pakpak Bharat,2.54562,98.24511,40,30,50,90,19,84,50,0
17,Samosir,2.54044,98.75181,50,30,50,6,21,82,33,0
18,Serdang Bedagai,3.39113,99.07025,30,20,30,65,8,99,42,0
19,Batu Bara,3.2373,99.4738,40,20,30,63,10,98,14,0
20,Padang Lawas Utara,1.6405,99.65869,40,20,20,53,10,97,10,0
21,Padang Lawas,1.18536,99.85633,40,20,30,75,9,96,10,0
22,Labuhan Batu Selatan,1.6704,100.2362,40,30,50,93,18,99,34,0
23,Labuhan Batu Utara,2.43493,99.81008,100,30,50,61,13,96,32,1
24,Nias Utara,1.27445,97.51372,30,30,10,100,10,99,6,0
25,Nias Barat,1.01115,97.51372,30,30,0,100,12,98,7,0
26,Kota Sibolga,1.73595,98.78506,50,40,50,86,79,99,59,1
27,Kota Tanjung Balai,2.69366,99.80019,50,40,50,54,50,99,66,0
28,Kota Pematang Siantar,2.95965,99.06066,40,60,80,61,80,97,27,1
29,Kota Tebing Tinggi ,3.32755,99.15773,40,60,70,100,69,99,45,1
30,Kota Medan,3.59225,98.67222,85,80,60,56,73,98,49,1
31,Kota Binjai,3.61376,98.50223,60,60,80,60,47,99,52,1
32,Kota Padangsidampuan,1.37326,99.27406,60,50,60,54,68,90,44,1
33,Kota Gunung Sitoli,1.28118,97.61513,40,30,50,71,30,97,28,0
